Year,Month,Total
1993,Jan,959041
1993,Feb,977521
1993,Mar,1015620
1993,Apr,947491
1993,May,966498
1993,Jun,974052
1993,Jul,975978
1993,Aug,975031
1993,Sep,976786
1993,Oct,941382
1993,Nov,919180
1993,Dec,1125893
1994,Jan ,1165009
1994,Feb,1134350
1994,Mar,1154174
1994,Apr,1164259
1994,May,1146372
1994,Jun,1165987
1994,Jul,1151911
1994,Aug,1163949
1994,Sep,1153814
1994,Oct,1120213
1994,Nov,1072581
1994,Dec,1081155
1995,Jan ,1071349
1995,Feb,1090777
1995,Mar,1132333
1995,Apr,1131689
1995,May,1135431
1995,Jun,1140019
1995,Jul,1152664
1995,Aug,1144574
1995,Sep,1142798
1995,Oct,1140047
1995,Nov,1164635
1995,Dec,1158622
1996,Jan ,1152946
1996,Feb,1155069
1996,Mar,1172772
1996,Apr,1180205
1996,May,1167501
1996,Jun,1163068
1996,Jul,1164688
1996,Aug,1169109
1996,Sep,1178643
1996,Oct,1175726
1996,Nov,1157586
1996,Dec,1155237
1997,Jan ,1141218
1997,Feb,1146496
1997,Mar,1144026
1997,Apr,1133134
1997,May,1146619
1997,Jun,1147948
1997,Jul,1172995
1997,Aug,1203464
1997,Sep,1267264
1997,Oct,1295648
1997,Nov,1274632
1997,Dec,1350575
1998,Jan ,1401986
1998,Feb,1365019
1998,Mar,1311554
1998,Apr,1377524
1998,May,1370951
1998,Jun,1420384
1998,Jul,1427628
1998,Aug,1455890
1998,Sep,1486414
1998,Oct,1487975
1998,Nov,1461039
1998,Dec,1496222
1999,Jan,1537585
1999,Feb,1562957
1999,Mar,1602796
1999,Apr,1606657
1999,May,1585073
1999,Jun,1593874
1999,Jul,1621362
1999,Aug,1641905
1999,Sep,1704564
1999,Oct,1721917
1999,Nov,1734765
1999,Dec,1775356
2000,Jan,1768694
2000,Feb,1784943
2000,Mar,1887413
2000,Apr,1899243
2000,May,1943557
2000,Jun,1954769
2000,Jul,1969908
2000,Aug,2009586
2000,Sep,2035140
2000,Oct,2163404
2000,Nov,2172154
2000,Dec,2166710
2001,Jan,2186315
2001,Feb,2188062
2001,Mar,2178854
2001,Apr,2210199
2001,May,2239899
2001,Jun,2260274
2001,Jul,2296599
2001,Aug,2283878
2001,Sep,2321481
2001,Oct,2352744
2001,Nov,2376450
2001,Dec,2384917
2002,Jan,2426859
2002,Feb,2435385
2002,Mar,2501125
2002,Apr,2545095
2002,May,2579669
2002,Jun,2649878
2002,Jul,2657554
2002,Aug,2695341
2002,Sept,2715682
2002,Oct,2765200
2002,Nov,2860211
2002,Dec,2815468
2003,Jan,2875728
2003,Feb,2906351
2003,Mar,2896686
2003,Apr,2932136
2003,May,2958655
2003,Jun,2970142
2003,Jul,3140651
2003,Aug,3157912
2003,Sep,3195776
2003,Oct,3324549
2003,Nov,3359018
2003,Dec,3355108
2004,Jan,3410358
2004,Feb ,3407109
2004,Mar,3464582
2004,Apr,3481245
2004,May,3522922
2004,Jun,3536824
2004,Jul,3578528
2004,Aug,3629165
2004,Sep,3729013
2004,Oct,3754626
2004,Nov,3801261
2004,Dec,3811954
2005,Jan,3810358
2005,Feb,3884508
2005,Mar,3868972
2005,Apr,3867077
2005,May,3888808
2005,Jun,3891032
2005,Jul,3931896
2005,Aug,3941774
2005,Sep,4018868
2005,Oct,3951689
2005,Nov,3910569
2005,Dec,3888231
2006,Jan,3964773
2006,Feb,3964388
2006,Mar,3962496
2006,Apr,3995963
2006,May,4017156
2006,Jun,3998506
2006,Jul,3923693
2006,Aug,3954279
2006,Sep,3928312
2006,Oct,3914275
2006,Nov,3907735
2006,Dec,3851506
2007,Jan,3871992
2007,Feb,3896629
2007,Mar,3931264
2007,Apr,3900326
2007,May,3819441
2007,Jun,3782249
2007,Jul,3764744
2007,Aug,3871340
2007,Sep,3831760
2007,Oct,3798352
2007,Nov,3751195
2007,Dec,3712487
2008,Jan,3731999
2008,Feb,3771052
2008,Mar,3881349
2008,Apr,3871699
2008,May,3926910
2008,Jun,3963527
2008,Jul,3966069
2008,Aug,4024161
2008,Sep,4100668
2008,Oct,4184349
2008,Nov,4236411
2008,Dec,4220903
2009,Jan,4260722
2009,Feb,4164072
2009,Mar,4228597
2009,Apr,4259026
2009,May,4219730
2009,Jun,4227107
2009,Jul,4223432
2009,Aug,4233641
2009,Sep,4338411
2009,Oct,4424081
2009,Nov,4424656
2009,Dec,4396640
2010,Jan,4443440
2010,Feb,4357605
2010,Mar,4458083
2010,Apr,4436480
2010,May,4554185
2010,June,4582425
2010,Jul,4605323
2010,Aug,4691649
2010,Sept,4664189
2010,Oct,4679507
2010,Nov,4719013
2010,Dec,4718171
2011,Jan,4740655
2011,Feb,4655295
2011,Mar,4705627
2011,Apr,4711922
2011,May,4776754
2011,June,4810105
2011,Jul,4746147
2011,Aug,4793500
2011,Sept,4870821
2011,Oct,4898345
2011,Nov,4932373
2011,Dec,4951188
2012,Jan,4993279
2012,Feb,4912707
2012,Mar,5088939
2012,Apr,5075242
2012,May,5147265
2012,June,5100601
2012,Jul,5156665
